SONG,ALBUM,DATE,TRACK NO,DURATION M,DURATION S,TOTAL S,PLAYS,WORDCOUNT,UK CHART,LP,CS,CD,DL,DVD,COVER?,"FEATURE SONG? IDK, WHEN YOU HAVE A SINGLE FOR AN ALBUM",CHART IF SINGLE,LEMMY,LARRY WALLIS,LUCAS FOX,PHIL TAYLOR,EDDIE CLARKE,BRIAN ROBERTSON,PHIL CAMPBELL,MICHAEL BURSTON,PETE GILL,MIKKEY DEE,DADS BDAY,DADS AGE D,DADS AGE Y,LABEL,EXPLICIT?,MUSIC VIDEO?
Motorhead,Motorhead,8/21/1977,1,3.00,10,190,13643488,148,43,1,0,0,0,0,0,1,52,1,0,0,1,1,0,0,0,0,0,11/28/1969,"2,823.00",7.73,Chiswick,0.00,1.00
Vibrator,Motorhead,8/21/1977,2,3,36,216,2694303,276,43,1,0,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"2,823.00",7.73,Chiswick,0.00,0.00
Lost Johnny,Motorhead,8/21/1977,3,4,13,253,2708237,251,43,1,0,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"2,823.00",7.73,Chiswick,0.00,0.00
Iron Horse / Born to Lose,Motorhead,8/21/1977,4,5,20,320,3544719,157,43,1,0,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"2,823.00",7.73,Chiswick,0.00,0.00
White Line Fever,Motorhead,8/21/1977,5,2,36,156,2500615,143,43,1,0,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"2,823.00",7.73,Chiswick,0.00,0.00
Keep Us on the Road,Motorhead,8/21/1977,6,5,55,355,895889,126,43,1,0,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"2,823.00",7.73,Chiswick,0.00,0.00
The Watcher,Motorhead,8/21/1977,7,4,26,266,2059275,115,43,1,0,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"2,823.00",7.73,Chiswick,0.00,0.00
The Train Kept a Rollin',Motorhead,8/21/1977,8,3,15,195,908784,74,43,1,0,0,0,0,1,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"2,823.00",7.73,Chiswick,0.00,0.00
Louie Louie,Single,8/25/1978,1,2,44,,8666725,165,68,1,0,0,0,0,1,1,68,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,192.00",8.75,NaN,0.00,0.00
Motorhead RM,On Parole,12/8/1979,1,2,49,169,841870,148,65,1,0,0,0,0,0,0,,1,1,0,1,1,0,0,0,0,0,11/28/1969,"3,662.00",10.03,United Artists,0.00,0.00
On Parole,On Parole,12/8/1979,2,5,37,337,347675,269,65,1,0,0,0,0,0,0,,1,1,0,1,1,0,0,0,0,0,11/28/1969,"3,662.00",10.03,United Artists,0.00,0.00
Vibrator RM,On Parole,12/8/1979,3,2,52,172,155949,276,65,1,0,0,0,0,0,0,,1,1,0,1,1,0,0,0,0,0,11/28/1969,"3,662.00",10.03,United Artists,0.00,0.00
Iron Horse / Born to Lose RM,On Parole,12/8/1979,4,5,14,314,324728,157,65,1,0,0,0,0,0,0,,1,1,0,1,1,0,0,0,0,0,11/28/1969,"3,662.00",10.03,United Artists,0.00,0.00
City Kids,On Parole,12/8/1979,5,3,43,223,414527,175,65,1,0,0,0,0,1,0,,1,1,0,1,1,0,0,0,0,0,11/28/1969,"3,662.00",10.03,United Artists,0.00,0.00
The Watcher RM,On Parole,12/8/1979,6,4,46,286,135532,115,65,1,0,0,0,0,0,0,,1,1,0,1,1,0,0,0,0,0,11/28/1969,"3,662.00",10.03,United Artists,0.00,0.00
Leaving Here,On Parole,12/8/1979,7,2,53,173,153505,142,65,1,0,0,0,0,0,0,,1,1,0,1,1,0,0,0,0,0,11/28/1969,"3,662.00",10.03,United Artists,0.00,0.00
Lost Johnny RM,On Parole,12/8/1979,8,3,30,210,181356,251,65,1,0,0,0,0,0,0,,1,1,1,1,1,0,0,0,0,0,11/28/1969,"3,662.00",10.03,United Artists,0.00,0.00
Fools,On Parole,12/8/1979,9,5,35,335,123798,232,65,1,0,0,0,0,0,0,,1,1,0,1,1,0,0,0,0,0,11/28/1969,"3,662.00",10.03,United Artists,0.00,0.00
Overkill,Overkill,3/24/1979,1,5,11,311,57155573,102,24,1,1,0,0,0,0,1,39,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,403.00",9.32,Bronze,0.00,1.00
Stay Clean,Overkill,3/24/1979,2,2,40,160,7060142,145,24,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,403.00",9.32,Bronze,0.00,0.00
(I Won't) Pay Your Price,Overkill,3/24/1979,3,2,56,176,1670143,171,24,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,403.00",9.32,Bronze,0.00,0.00
I'll Be Your Sister,Overkill,3/24/1979,4,2,52,172,1640478,115,24,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,403.00",9.32,Bronze,0.00,0.00
Capricorn,Overkill,3/24/1979,5,4,8,248,1232604,104,24,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,403.00",9.32,Bronze,0.00,1.00
No Class,Overkill,3/24/1979,6,2,38,158,5583107,109,24,1,1,0,0,0,0,1,61,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,403.00",9.32,Bronze,0.00,1.00
Damage Case,Overkill,3/24/1979,7,3,2,182,12974094,152,24,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,403.00",9.32,Bronze,0.00,0.00
Tear Ya Down,Overkill,3/24/1979,8,2,40,160,1890590,164,24,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,403.00",9.32,Bronze,0.00,0.00
Metropolis,Overkill,3/24/1979,9,3,35,215,3233557,48,24,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,403.00",9.32,Bronze,0.00,0.00
Limb from Limb,Overkill,3/24/1979,10,4,54,294,1264846,80,24,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,403.00",9.32,Bronze,0.00,0.00
Dead Men Tell No Tales,Bomber,10/27/1979,1,3,3,183,1836563,147,12,1,0,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,620.00",9.92,Bronze,0.00,1.00
Lawman,Bomber,10/27/1979,2,4,3,243,650202,101,12,1,0,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,620.00",9.92,Bronze,0.00,0.00
Sweet Revenge,Bomber,10/27/1979,3,4,10,250,589999,130,12,1,0,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,620.00",9.92,Bronze,0.00,0.00
Sharpshooter,Bomber,10/27/1979,4,3,17,197,600659,75,12,1,0,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,620.00",9.92,Bronze,0.00,0.00
Poison,Bomber,10/27/1979,5,2,51,171,620566,152,12,1,0,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,620.00",9.92,Bronze,0.00,1.00
Stone Dead Forever,Bomber,10/27/1979,6,4,56,296,3464235,161,12,1,0,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,620.00",9.92,Bronze,0.00,0.00
All the Aces,Bomber,10/27/1979,7,3,22,202,687593,157,12,1,0,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,620.00",9.92,Bronze,0.00,0.00
Step Down,Bomber,10/27/1979,8,3,38,218,483417,64,12,1,0,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,620.00",9.92,Bronze,0.00,0.00
Talking Head,Bomber,10/27/1979,9,3,38,218,440849,165,12,1,0,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,620.00",9.92,Bronze,0.00,0.00
Bomber,Bomber,10/27/1979,10,3,40,220,9995654,98,12,1,0,0,0,0,0,1,34,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,620.00",9.92,Bronze,0.00,0.00
Ace of Spades,Ace of Spades,11/8/1980,1,2,46,166,343548932,158,4,1,1,0,0,0,0,1,15,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,998.00",10.95,Bronze,0.00,1.00
Love Me Like a Reptile,Ace of Spades,11/8/1980,2,3,20,200,7111249,146,4,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,998.00",10.95,Bronze,0.00,0.00
Shoot You in the Back,Ace of Spades,11/8/1980,3,2,38,158,4676617,103,4,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,998.00",10.95,Bronze,0.00,0.00
Live to Win,Ace of Spades,11/8/1980,4,3,36,216,3199788,141,4,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,998.00",10.95,Bronze,0.00,0.00
Fast and Loose,Ace of Spades,11/8/1980,5,3,21,201,4788010,160,4,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,998.00",10.95,Bronze,0.00,0.00
(We Are) The Roadcrew,Ace of Spades,11/8/1980,6,3,11,191,9523650,157,4,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,998.00",10.95,Bronze,1.00,0.00
Fire Fire,Ace of Spades,11/8/1980,7,2,43,163,1831049,160,4,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,998.00",10.95,Bronze,0.00,0.00
Jailbait,Ace of Spades,11/8/1980,8,3,30,210,2830349,119,4,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,998.00",10.95,Bronze,0.00,0.00
Dance,Ace of Spades,11/8/1980,9,2,35,155,1644053,134,4,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,998.00",10.95,Bronze,0.00,0.00
Bite the Bullet,Ace of Spades,11/8/1980,10,1,37,97,1570186,77,4,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,998.00",10.95,Bronze,0.00,0.00
The Chase Is Better Than the Catch,Ace of Spades,11/8/1980,11,4,15,255,5491170,183,4,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,998.00",10.95,Bronze,0.00,1.00
The Hammer,Ace of Spades,11/8/1980,12,2,46,166,2479305,169,4,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"3,998.00",10.95,Bronze,0.00,0.00
Iron Fist,Iron Fist,4/17/1982,1,2,52,172,7767046,140,6,1,1,0,0,0,0,1,29,1,0,0,1,1,0,0,0,0,0,11/28/1969,"4,523.00",12.39,Bronze,0.00,1.00
Heart of Stone,Iron Fist,4/17/1982,2,3,2,182,750610,115,6,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"4,523.00",12.39,Bronze,0.00,0.00
I'm the Doctor,Iron Fist,4/17/1982,3,2,40,160,645990,158,6,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"4,523.00",12.39,Bronze,0.00,0.00
Go to Hell,Iron Fist,4/17/1982,4,3,7,187,741994,110,6,1,1,0,0,0,0,1,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"4,523.00",12.39,Bronze,0.00,0.00
Loser,Iron Fist,4/17/1982,5,3,54,234,515775,98,6,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"4,523.00",12.39,Bronze,0.00,0.00
Sex and Outrage,Iron Fist,4/17/1982,6,2,7,127,465860,90,6,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"4,523.00",12.39,Bronze,0.00,0.00
America,Iron Fist,4/17/1982,7,3,35,215,512827,91,6,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"4,523.00",12.39,Bronze,0.00,0.00
Shut It Down,Iron Fist,4/17/1982,8,2,38,158,338376,138,6,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"4,523.00",12.39,Bronze,0.00,0.00
Speedfreak,Iron Fist,4/17/1982,9,3,25,205,697089,103,6,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"4,523.00",12.39,Bronze,0.00,0.00
(Don't Let 'Em) Grind You Down,Iron Fist,4/17/1982,10,3,5,185,359993,117,6,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"4,523.00",12.39,Bronze,0.00,0.00
(Don't Need) Religion,Iron Fist,4/17/1982,11,2,40,160,549888,101,6,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"4,523.00",12.39,Bronze,0.00,0.00
Bang to Rights,Iron Fist,4/17/1982,12,2,39,159,347341,135,6,1,1,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,11/28/1969,"4,523.00",12.39,Bronze,0.00,0.00
Back at the Funny Farm,Another Perfect Day,6/4/1983,1,4,11,251,2668601,139,20,1,1,0,0,0,0,0,,1,0,0,1,0,1,0,0,0,0,11/28/1969,"4,936.00",13.52,Bronze,0.00,0.00
Shine,Another Perfect Day,6/4/1983,2,3,8,188,1524459,190,20,1,1,0,0,0,0,1,59,1,0,0,1,0,1,0,0,0,0,11/28/1969,"4,936.00",13.52,Bronze,0.00,1.00
Dancing on Your Grave,Another Perfect Day,6/4/1983,3,4,26,266,2479436,118,20,1,1,0,0,0,0,0,,1,0,0,1,0,1,0,0,0,0,11/28/1969,"4,936.00",13.52,Bronze,0.00,0.00
Rock It,Another Perfect Day,6/4/1983,4,3,52,232,726625,129,20,1,1,0,0,0,0,0,,1,0,0,1,0,1,0,0,0,0,11/28/1969,"4,936.00",13.52,Bronze,0.00,0.00
One Track Mind,Another Perfect Day,6/4/1983,5,5,52,352,517486,84,20,1,1,0,0,0,0,0,,1,0,0,1,0,1,0,0,0,0,11/28/1969,"4,936.00",13.52,Bronze,0.00,1.00
Another Perfect Day,Another Perfect Day,6/4/1983,6,5,26,326,586409,169,20,1,1,0,0,0,0,0,,1,0,0,1,0,1,0,0,0,0,11/28/1969,"4,936.00",13.52,Bronze,0.00,0.00
Marching Off to War,Another Perfect Day,6/4/1983,7,4,9,249,596055,83,20,1,1,0,0,0,0,0,,1,0,0,1,0,1,0,0,0,0,11/28/1969,"4,936.00",13.52,Bronze,0.00,0.00
I Got Mine,Another Perfect Day,6/4/1983,8,5,21,321,1207121,142,20,1,1,0,0,0,0,1,46,1,0,0,1,0,1,0,0,0,0,11/28/1969,"4,936.00",13.52,Bronze,0.00,1.00
Tales of Glory,Another Perfect Day,6/4/1983,9,2,53,173,298311,148,20,1,1,0,0,0,0,0,,1,0,0,1,0,1,0,0,0,0,11/28/1969,"4,936.00",13.52,Bronze,0.00,0.00
Die You Bastard,Another Perfect Day,6/4/1983,10,4,22,262,383711,114,20,1,1,0,0,0,0,0,,1,0,0,1,0,1,0,0,0,0,11/28/1969,"4,936.00",13.52,Bronze,0.00,0.00
Turn You Round Again,Another Perfect Day,6/4/1983,11,3,55,235,290271,183,20,1,1,0,0,0,0,0,,1,0,0,1,0,1,0,0,0,0,11/28/1969,"4,936.00",13.52,Bronze,0.00,0.00
Ace of Spades,No Remorse,9/15/1984,1,2,46,166,344448391,170,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,5405,14.80821918,Bronze,0.00,0.00
Motorhead,No Remorse,9/15/1984,2,3,35,215,824398,148,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Jailbait,No Remorse,9/15/1984,3,3,30,210,2836414,116,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Stay Clean,No Remorse,9/15/1984,4,2,40,160,7073061,155,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Too Late Too Late,No Remorse,9/15/1984,5,3,23,203,1187157,160,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Killed By Death,No Remorse,9/15/1984,6,4,39,279,33348342,127,14,1,1,0,0,0,0,1,51,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,1.00
Bomber,No Remorse,9/15/1984,7,3,40,220,10013982,112,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Iron Fist,No Remorse,9/15/1984,8,2,53,173,7787527,140,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Shine,No Remorse,9/15/1984,9,3,9,189,1527574,248,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Dancing on Your Grave,No Remorse,9/15/1984,10,4,26,266,2482965,118,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Metropolis,No Remorse,9/15/1984,11,3,35,215,3237733,49,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Snaggletooth,No Remorse,9/15/1984,12,3,51,231,539676,194,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Overkill,No Remorse,9/15/1984,13,5,13,313,57287613,127,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Please Don't Touch,No Remorse,9/15/1984,14,2,47,167,3125683,329,14,1,1,0,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Stone Dead Forever,No Remorse,9/15/1984,15,4,56,296,3470946,159,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Like a Nightmare,No Remorse,9/15/1984,16,4,26,266,280838,80,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Emergency,No Remorse,9/15/1984,17,2,58,178,599999,141,14,1,1,0,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Steal Your Face,No Remorse,9/15/1984,18,4,29,269,253337,167,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Louie Louie,No Remorse,9/15/1984,19,2,50,170,8687452,123,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
No Class,No Remorse,9/15/1984,20,2,38,158,5598943,116,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Iron Horse,No Remorse,9/15/1984,21,3,45,225,726923,152,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
(We Are) The Roadcrew,No Remorse,9/15/1984,22,3,11,191,9544411,148,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,1.00,0.00
Leaving Here,No Remorse,9/15/1984,23,3,3,183,328639,202,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Locomotive,No Remorse,9/15/1984,24,3,22,202,326648,106,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Under the Knife,No Remorse,9/15/1984,25,3,48,228,176641,133,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Masterplan,No Remorse,9/15/1984,26,2,52,172,160615,234,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
No Class,No Remorse,9/15/1984,27,2,29,149,167255,111,14,1,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Stand By Your Man,No Remorse,9/15/1984,28,3,6,186,353999,154,14,1,1,0,0,0,1,0,,1,0,0,0,0,0,0,0,0,0,11/28/1969,"5,405.00",14.81,Bronze,0.00,0.00
Deaf Forever,Orgasmatron,8/9/1986,1,4,26,266,2083048,320,21,1,1,1,0,0,0,1,67,1,0,0,0,0,0,1,1,1,0,11/28/1969,"6,098.00",16.71,GWR,0.00,0.00
Nothing Up My Sleeve,Orgasmatron,8/9/1986,2,3,12,192,490187,166,21,1,1,1,0,0,0,0,,1,0,0,0,0,0,1,1,1,0,11/28/1969,"6,098.00",16.71,GWR,0.00,0.00
Ain't My Crime,Orgasmatron,8/9/1986,3,3,43,223,607145,207,21,1,1,1,0,0,0,0,,1,0,0,0,0,0,1,1,1,0,11/28/1969,"6,098.00",16.71,GWR,0.00,0.00
Claw,Orgasmatron,8/9/1986,4,3,31,211,430752,238,21,1,1,1,0,0,0,0,,1,0,0,0,0,0,1,1,1,0,11/28/1969,"6,098.00",16.71,GWR,0.00,0.00
Mean Machine,Orgasmatron,8/9/1986,5,2,57,177,624681,117,21,1,1,1,0,0,0,0,,1,0,0,0,0,0,1,1,1,0,11/28/1969,"6,098.00",16.71,GWR,0.00,0.00
Built for Speed,Orgasmatron,8/9/1986,6,4,56,296,909953,201,21,1,1,1,0,0,0,0,,1,0,0,0,0,0,1,1,1,0,11/28/1969,"6,098.00",16.71,GWR,0.00,0.00
Ridin' with the Driver,Orgasmatron,8/9/1986,7,3,47,227,482536,205,21,1,1,1,0,0,0,0,,1,0,0,0,0,0,1,1,1,0,11/28/1969,"6,098.00",16.71,GWR,0.00,0.00
Doctor Rock,Orgasmatron,8/9/1986,8,3,37,217,1173272,247,21,1,1,1,0,0,0,0,,1,0,0,0,0,0,1,1,1,0,11/28/1969,"6,098.00",16.71,GWR,0.00,0.00
Orgasmatron,Orgasmatron,8/9/1986,9,5,23,323,6495312,188,21,1,1,1,0,0,0,0,,1,0,0,0,0,0,1,1,1,0,11/28/1969,"6,098.00",16.71,GWR,0.00,0.00
Rock 'n' Roll,Rock 'n' Roll,9/5/1987,1,3,47,227,7113054,216,34,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,0,11/28/1969,"6,490.00",17.78,GWR,0.00,0.00
Eat the Rich,Rock 'n' Roll,9/5/1987,2,4,34,274,4499781,236,34,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,11/28/1969,"6,490.00",17.78,GWR,0.00,1.00
Blackheart,Rock 'n' Roll,9/5/1987,3,4,0,240,387543,276,34,1,1,1,0,0,0,0,,1,0,0,1,0,0,1,1,0,0,11/28/1969,"6,490.00",17.78,GWR,0.00,0.00
